Otu000076,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000082,993,2777,3741,1539,2102,1677,71,957,301,2297,0,150,1549,1772,1503,0,464,704,266,0,0,0,24,61,241,8,52,264,54,0,95,0,311,6339,1240,156,607,2031,771,2131,0,423,55,52,212,0,624,461,0,575,1319,623,1160,11,483,76,0,1966,227,0,19,0,167,96,76
Otu000085,31,77,80,16,36,49,0,47,35,28,0,0,75,54,70,3024,7,0,0,0,0,0,56,0,0,0,8,0,0,0,0,0,0,19,0,56,9,0,0,0,6,0,0,0,0,0,0,146,5,15,14,0,0,16,0,0,0,0,0,0,65,8346,0,0,0
Otu000087,13,48,68,0,0,93,0,22,30,46,0,0,46,95,0,0,29,85,185,0,53,0,480,16,0,0,34,129,179,0,760,0,238,101,98,1187,0,29,221,29,0,0,87,57,163,0,128,0,8,0,54,33,178,297,0,118,0,0,0,0,561,0,0,359,233
Otu000089,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000090,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,46,12,30,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000101,0,0,0,0,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
Otu000108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26819,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000110,0,10,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000112,45,201,164,0,51,103,0,52,23,72,0,0,33,40,15,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,15,0,16,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,78,0,0,0
Otu000116,70,231,116,81,73,324,65,187,78,174,0,66,116,240,152,0,0,177,23,266,21,0,22,19,0,0,0,27,0,0,0,0,23,0,196,0,58,84,0,177,0,110,0,0,0,0,25,108,0,76,108,0,50,0,6795,0,0,0,195,0,0,87,1813,30,0
Otu000117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000122,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000123,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,0,0,0,0,0,0,0,0,0,20,0,0,0,91,0,8,0,7,0,12,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,32,17,0,0,7,0,193,0,18,18,0,0
Otu000129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,29,62,46,0,0
Otu000134,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000138,25,99,83,31,20,277,13,222,57,58,0,23,29,75,24,0,4901,13,14,0,0,0,0,0,0,0,0,0,0,0,31,0,0,68,26,0,9,11,0,18,0,12,0,0,0,0,0,70,0,60,26,0,14,0,0,58,0,19,7,0,0,14,19,0,0
Otu000141,0,0,0,0,0,0,0,0,0,0,280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000145,115,146,267,47,64,269,0,157,41,134,0,0,37,193,57,0,0,70,0,0,0,0,0,0,9,0,10,0,0,0,0,0,0,9,22,0,15,28,0,23,0,31,0,0,18,0,0,0,0,18,22,46,0,0,0,0,0,0,0,0,13,0,6,0,0
Otu000150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
