Otu000076,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,38,0,76,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,5,2983,50,0,0,0,0,0,0
Otu000079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,2375,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0
Otu000081,30,0,0,0,0,0,45,0,0,0,104,0,29,53,61,65,694,0,0,84,0,0,0,916,0,0,34,252,0,0,32,77,0,158,0,0,67,0,0,0,40,0
Otu000082,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000085,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000089,0,0,4071,0,0,0,6873,0,0,28,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,144,5175,0,0,0,0,0,0,0,0,10310,5147
Otu000090,0,0,0,0,0,311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237,0,0,0,0,0,0,0,40,0,0,0
Otu000094,0,25,0,0,0,0,0,0,27,0,0,0,0,51,0,0,0,296,0,46,0,0,0,435,0,37,89,84,0,0,68,0,0,45,0,0,0,0,0,0,0,0
Otu000095,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000100,0,0,0,0,0,0,0,0,0,0,0,0,0,6,15,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000103,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,21,0,0,0,0,0,0
Otu000105,0,0,0,132,0,0,0,0,0,1563,8,728,0,0,0,0,0,0,0,0,0,0,0,0,0,1571,0,0,0,0,1048,0,0,0,0,383,556,33,39,0,0,0
Otu000106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45666,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000110,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000111,0,0,0,783,0,2394,0,0,0,0,30,9,65,35,322,97,306,39,69,0,0,0,51,15,0,0,63,0,19,51,2267,0,36,11,0,928,0,0,458,48,0,46
Otu000116,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000117,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000118,0,0,977,7,9364,420,48,1872,0,6,0,42,0,5,13,0,0,0,0,0,0,1575,11,0,0,83,16,0,0,0,310,0,3,0,0,32,17,0,89,12,0,0
Otu000120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,32,34,0,0,0,17,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000125,0,0,0,63,0,0,0,0,0,187,0,1809,0,0,0,0,0,0,0,0,0,0,0,0,0,2004,0,0,0,0,2894,0,0,0,0,574,86,5,0,0,0,0
Otu000127,85,58,109,59,15,61,251,0,0,63,394,0,814,531,1588,1375,628,1222,1137,322,0,0,978,418,1054,305,1294,433,0,658,495,139,1195,443,58,0,128,60,43,438,519,441
Otu000128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
